application_id,event_time,customer_id,region_code,product_type,requested_amount,term_months,credit_score,risk_level,decision_status,approved_amount,channel,employee_review_flag,processing_time_sec
app_20260501_000000001,2026-05-04 17:49:56,cust_1625384,ES-MD,bnpl,48000,24,637,medium,rejected,0,partner_api,true,1490
app_20260501_000000002,2026-05-02 20:38:21,cust_7292454,NL-NH,credit_card,74500,6,810,low,approved,59600,mobile,true,1180
app_20260501_000000003,2026-07-19 15:15:03,cust_8510612,DE-NW,bnpl,64000,12,704,medium,approved,57600,call_center,false,22
app_20260501_000000004,2026-05-07 04:02:21,cust_4978736,DE-NW,cash_loan,8500,36,704,medium,approved,7650,partner_api,false,8
app_20260501_000000005,2026-05-11 00:06:08,cust_5567872,FR-IDF,bnpl,8500,48,825,low,approved,8500,call_center,true,996
app_20260501_000000006,2026-05-17 04:42:53,cust_4508425,FR-IDF,credit_card,11000,48,658,medium,approved,8800,partner_api,false,21
app_20260501_000000007,2026-05-07 19:55:47,cust_703620,ES-MD,car_loan,64000,36,775,low,approved,51200,mobile,true,948
app_20260501_000000008,2026-06-04 18:28:57,cust_5169381,DE-BE,bnpl,12000,24,649,medium,approved,10800,call_center,true,1713
app_20260501_000000009,2026-06-27 00:08:18,cust_5674676,DE-BE,bnpl,16500,24,675,medium,rejected,0,branch,false,3
app_20260501_000000010,2026-07-13 05:30:07,cust_570511,DE-BE,credit_card,44500,60,671,medium,manual_review,31149,call_center,true,238
app_20260501_000000011,2026-05-19 20:01:32,cust_5831642,DE-HE,credit_card,76000,36,625,medium,approved,53200,web,false,15
app_20260501_000000012,2026-07-16 01:04:54,cust_3926229,DE-NW,credit_card,7500,18,567,high,rejected,0,web,true,1431
app_20260501_000000013,2026-07-15 09:35:57,cust_8422224,DE-HE,cash_loan,29500,6,687,medium,rejected,0,mobile,false,17
app_20260501_000000014,2026-06-22 23:50:06,cust_5807451,DE-NW,credit_card,66000,12,751,low,manual_review,66000,call_center,true,1245
app_20260501_000000015,2026-07-14 04:45:24,cust_6980851,DE-HH,car_loan,29000,24,620,medium,approved,29000,mobile,true,1334
app_20260501_000000016,2026-05-02 10:20:24,cust_9039671,DE-BY,bnpl,15500,36,710,medium,approved,12400,web,false,11
app_20260501_000000017,2026-07-07 05:47:58,cust_1244060,ES-MD,mortgage,62000,12,672,medium,approved,49600,branch,true,1686
app_20260501_000000018,2026-05-22 16:18:00,cust_4809431,ES-MD,mortgage,27500,48,732,low,approved,19250,call_center,true,367
app_20260501_000000019,2026-06-13 02:43:34,cust_9224657,NL-NH,car_loan,63000,36,591,high,rejected,0,partner_api,true,1791
app_20260501_000000020,2026-05-07 20:14:55,cust_1489873,DE-HH,credit_card,20500,12,850,low,approved,20500,partner_api,true,281
app_20260501_000000021,2026-07-17 01:24:05,cust_1086811,FR-IDF,car_loan,63000,24,657,medium,approved,44100,branch,false,12
app_20260501_000000022,2026-06-18 10:03:01,cust_6130770,DE-BE,car_loan,42000,48,568,high,manual_review,33600,call_center,true,741
app_20260501_000000023,2026-06-01 16:51:17,cust_5066145,NL-NH,credit_card,60000,60,614,high,manual_review,54000,partner_api,true,826
app_20260501_000000024,2026-05-29 12:14:25,cust_2627390,DE-HH,credit_card,7000,12,811,low,approved,6300,partner_api,false,7
app_20260501_000000025,2026-06-19 06:41:15,cust_4283011,DE-BE,bnpl,64500,18,631,medium,approved,45150,web,true,441
app_20260501_000000026,2026-05-11 00:58:19,cust_4285277,DE-BE,credit_card,40000,36,488,high,rejected,0,partner_api,true,1086
app_20260501_000000027,2026-06-08 04:04:33,cust_1797735,DE-HE,car_loan,72500,24,775,low,approved,50750,mobile,true,1387
app_20260501_000000028,2026-05-28 21:19:37,cust_9134612,NL-NH,car_loan,27000,12,705,medium,approved,18900,web,true,239
app_20260501_000000029,2026-06-04 19:51:04,cust_387096,FR-IDF,credit_card,12000,18,736,low,manual_review,9600,mobile,true,439
app_20260501_000000030,2026-06-10 05:45:16,cust_3384354,DE-HH,credit_card,2000,6,672,medium,approved,2000,call_center,false,6
app_20260501_000000031,2026-05-04 19:39:35,cust_6684672,DE-BY,credit_card,79500,48,700,medium,approved,71550,branch,false,11
app_20260501_000000032,2026-06-17 16:44:33,cust_5528054,ES-MD,mortgage,53500,36,645,medium,manual_review,37450,web,true,1419
app_20260501_000000033,2026-06-12 22:58:23,cust_556179,DE-BY,cash_loan,3000,6,521,high,manual_review,2700,call_center,true,961
app_20260501_000000034,2026-05-08 12:27:49,cust_4228195,IT-LAZ,bnpl,16500,24,732,low,approved,16500,web,true,1744
app_20260501_000000035,2026-06-18 04:27:23,cust_192471,IT-LAZ,bnpl,14000,6,671,medium,approved,9800,mobile,false,7
app_20260501_000000036,2026-07-24 09:45:24,cust_1735783,IT-LAZ,bnpl,9000,24,657,medium,approved,8100,partner_api,true,1405
app_20260501_000000037,2026-05-03 04:07:24,cust_396148,ES-MD,cash_loan,37000,6,559,high,manual_review,25900,partner_api,true,1172
app_20260501_000000038,2026-05-02 00:12:23,cust_5017372,DE-HE,mortgage,55500,24,808,low,approved,44400,branch,false,20
app_20260501_000000039,2026-05-04 03:29:05,cust_747710,DE-HH,bnpl,35500,6,756,low,approved,28400,call_center,false,14
app_20260501_000000040,2026-06-02 02:22:17,cust_6004668,IT-LAZ,credit_card,58000,6,756,low,approved,46400,call_center,false,18
app_20260501_000000041,2026-06-11 05:16:36,cust_6838238,DE-BE,mortgage,35000,18,622,medium,manual_review,28000,branch,true,1072
app_20260501_000000042,2026-05-11 12:23:38,cust_9269276,ES-MD,mortgage,80000,60,691,medium,manual_review,56000,call_center,true,1603
app_20260501_000000043,2026-07-15 19:45:59,cust_3201321,FR-IDF,bnpl,2500,48,511,high,approved,2250,branch,true,655
app_20260501_000000044,2026-05-16 01:27:36,cust_138200,DE-NW,credit_card,66500,36,781,low,approved,46550,branch,false,21
app_20260501_000000045,2026-05-30 10:38:44,cust_1027112,DE-NW,credit_card,65000,6,569,high,rejected,0,call_center,true,412
app_20260501_000000046,2026-07-12 09:49:41,cust_1543994,DE-NW,mortgage,19500,12,582,high,manual_review,17550,partner_api,true,118
app_20260501_000000047,2026-06-12 20:03:41,cust_9140992,DE-BY,bnpl,12500,60,840,low,manual_review,8750,branch,true,673
app_20260501_000000048,2026-07-13 04:05:11,cust_6040798,DE-BE,car_loan,48500,36,664,medium,rejected,0,mobile,true,976
app_20260501_000000049,2026-07-13 11:30:17,cust_2531964,ES-MD,bnpl,45500,48,704,medium,approved,36400,partner_api,false,15
app_20260501_000000050,2026-07-29 00:53:54,cust_9747739,DE-HE,credit_card,73000,60,698,medium,manual_review,58400,web,true,705
app_20260501_000000051,2026-07-27 03:18:51,cust_229838,NL-NH,mortgage,70500,18,719,medium,approved,49350,partner_api,true,1365
app_20260501_000000052,2026-05-16 14:45:03,cust_4015651,FR-IDF,credit_card,55500,24,782,low,approved,38850,mobile,false,10
app_20260501_000000053,2026-05-28 21:31:51,cust_691710,DE-HE,mortgage,42500,18,652,medium,manual_review,42500,web,true,832
app_20260501_000000054,2026-05-28 11:17:07,cust_5322879,DE-HE,cash_loan,75500,24,707,medium,approved,75500,call_center,true,1230
app_20260501_000000055,2026-07-21 02:11:34,cust_5855410,DE-BE,bnpl,73500,12,760,low,manual_review,51450,mobile,true,1716
app_20260501_000000056,2026-07-17 16:03:19,cust_5491895,ES-MD,bnpl,4500,24,759,low,approved,3150,partner_api,false,10
app_20260501_000000057,2026-07-05 11:51:06,cust_5243358,DE-HH,mortgage,12500,36,572,high,rejected,0,call_center,true,951
app_20260501_000000058,2026-06-15 13:15:10,cust_796849,DE-HH,cash_loan,12000,24,544,high,rejected,0,branch,true,1609
app_20260501_000000059,2026-05-20 03:02:04,cust_1476756,FR-IDF,credit_card,77000,6,531,high,rejected,0,call_center,true,1108
app_20260501_000000060,2026-05-24 10:49:51,cust_2872679,ES-MD,car_loan,71500,12,735,low,approved,57200,call_center,false,13
app_20260501_000000061,2026-06-23 00:46:28,cust_4746485,IT-LAZ,car_loan,6500,18,758,low,approved,4550,web,false,25
app_20260501_000000062,2026-07-17 23:07:06,cust_9243493,FR-IDF,bnpl,30000,60,701,medium,rejected,0,partner_api,false,15
app_20260501_000000063,2026-06-07 08:13:22,cust_7772698,ES-MD,bnpl,46500,36,850,low,approved,41850,mobile,false,20
app_20260501_000000064,2026-06-24 21:58:12,cust_9544007,DE-NW,cash_loan,4500,48,850,low,approved,3150,web,false,3
app_20260501_000000065,2026-06-20 01:44:49,cust_7385595,IT-LAZ,credit_card,65000,6,843,low,approved,58500,web,false,22
app_20260501_000000066,2026-05-24 15:20:57,cust_5198077,DE-NW,car_loan,12000,18,705,medium,manual_review,12000,partner_api,true,420
app_20260501_000000067,2026-05-02 05:11:28,cust_1432482,DE-HH,mortgage,16500,36,648,medium,approved,16500,mobile,false,25
app_20260501_000000068,2026-07-04 10:18:39,cust_2061038,DE-HH,mortgage,53500,60,676,medium,rejected,0,partner_api,false,3
app_20260501_000000069,2026-06-29 07:33:36,cust_8327594,DE-HE,credit_card,43500,60,725,low,approved,43500,branch,false,5
app_20260501_000000070,2026-06-29 07:04:59,cust_6979935,DE-HE,mortgage,51500,24,660,medium,approved,36050,branch,true,1503
app_20260501_000000071,2026-06-11 14:59:21,cust_6793897,NL-NH,cash_loan,54000,36,755,low,approved,43200,web,false,9
app_20260501_000000072,2026-07-12 09:23:44,cust_2946938,DE-HE,credit_card,73000,6,748,low,approved,58400,mobile,false,9
app_20260501_000000073,2026-06-06 17:42:22,cust_3874856,DE-NW,cash_loan,48000,24,672,medium,approved,43200,mobile,true,1517
app_20260501_000000074,2026-05-05 07:30:21,cust_2236684,DE-NW,credit_card,47000,60,643,medium,approved,42300,call_center,true,1768
app_20260501_000000075,2026-05-05 12:54:37,cust_9222838,DE-BY,bnpl,25000,60,765,low,approved,22500,mobile,false,13
app_20260501_000000076,2026-06-18 15:25:11,cust_8025015,DE-NW,bnpl,65000,6,676,medium,approved,65000,branch,true,838
